epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,22575.5,1.50798,1.08353,1.05837,0.82851,0.72668,0.79297,0.48127,1.47007,0.98365,0.95895,0.007624,0.007624,0.007624
74,22886.7,1.50104,1.07195,1.04673,0.82607,0.73101,0.79336,0.48248,1.46884,0.97965,0.95858,0.007591,0.007591,0.007591
75,23198.1,1.49486,1.07698,1.04671,0.83231,0.72911,0.79437,0.48242,1.46865,0.97944,0.95887,0.007558,0.007558,0.007558
76,23501,1.49245,1.08174,1.05258,0.83296,0.72618,0.7949,0.483,1.46842,0.97642,0.9585,0.007525,0.007525,0.007525
77,23810.6,1.48747,1.0591,1.04267,0.83374,0.72597,0.79488,0.48243,1.46841,0.97725,0.95815,0.007492,0.007492,0.007492
78,24120.7,1.49284,1.07183,1.05031,0.83295,0.72752,0.79559,0.4822,1.46835,0.97589,0.95827,0.007459,0.007459,0.007459
79,24431.8,1.48031,1.05716,1.04594,0.83782,0.72591,0.79567,0.48278,1.46847,0.97381,0.95811,0.007426,0.007426,0.007426
80,24739.8,1.49621,1.07666,1.0448,0.84103,0.72856,0.79469,0.48316,1.46753,0.97334,0.95805,0.007393,0.007393,0.007393
81,25049.4,1.4729,1.05105,1.04449,0.83728,0.72988,0.79436,0.48384,1.46613,0.97118,0.9578,0.00736,0.00736,0.00736
82,25358,1.47992,1.04558,1.04715,0.83553,0.73144,0.79445,0.48466,1.46579,0.97098,0.95768,0.007327,0.007327,0.007327
83,25667.8,1.47971,1.05154,1.04058,0.83159,0.73286,0.79417,0.48402,1.46359,0.97131,0.95751,0.007294,0.007294,0.007294
84,25977.5,1.46202,1.04718,1.04089,0.83019,0.73313,0.7961,0.48492,1.46199,0.96944,0.9572,0.007261,0.007261,0.007261
85,26278,1.47005,1.03991,1.04328,0.82802,0.73067,0.79598,0.48502,1.46181,0.9683,0.9573,0.007228,0.007228,0.007228
86,26586.1,1.47494,1.04896,1.04276,0.82574,0.73235,0.79466,0.48471,1.46028,0.96903,0.95698,0.007195,0.007195,0.007195
87,26899.6,1.47229,1.04153,1.03738,0.8237,0.73401,0.79393,0.48472,1.46028,0.96937,0.95702,0.007162,0.007162,0.007162
88,27210.9,1.46173,1.03669,1.03649,0.81275,0.73842,0.79341,0.48578,1.45921,0.96783,0.95664,0.007129,0.007129,0.007129
89,27519.6,1.46752,1.03955,1.04123,0.8114,0.73962,0.79417,0.48536,1.45803,0.96604,0.95688,0.007096,0.007096,0.007096
90,27825.3,1.46074,1.03043,1.04181,0.8066,0.73927,0.7958,0.48646,1.45787,0.96755,0.95641,0.007063,0.007063,0.007063
