epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
72,45613.7,0.86787,0.64115,0.11172,0.78157,0.5808,0.68183,0.41216,0.52332,0.63186,0.07636,0.007657,0.007657,0.007657
73,46247.7,0.95372,0.61846,0.12,0.81902,0.56781,0.67795,0.41471,0.51308,0.63436,0.07484,0.007624,0.007624,0.007624
74,46880.9,0.92629,0.6087,0.11595,0.85121,0.55637,0.67716,0.42034,0.50185,0.6449,0.07342,0.007591,0.007591,0.007591
75,47513,0.79848,0.65975,0.10334,0.86854,0.54844,0.67544,0.42443,0.48968,0.65512,0.0722,0.007558,0.007558,0.007558
76,48145.2,0.81268,0.62241,0.10235,0.85477,0.55344,0.67663,0.42732,0.48508,0.65555,0.07159,0.007525,0.007525,0.007525
77,48779,0.8795,0.61736,0.11099,0.86725,0.54744,0.67815,0.4286,0.48106,0.65476,0.07092,0.007492,0.007492,0.007492
78,49412.1,0.8698,0.64004,0.1125,0.86357,0.54732,0.6755,0.43019,0.47326,0.66319,0.07026,0.007459,0.007459,0.007459
79,50044.8,0.83669,0.63065,0.10436,0.8569,0.54798,0.67428,0.42919,0.46799,0.66815,0.06964,0.007426,0.007426,0.007426
80,50676.3,0.9595,0.5998,0.12159,0.86374,0.54579,0.67498,0.43191,0.46828,0.66886,0.06956,0.007393,0.007393,0.007393
81,51309.6,0.98129,0.59446,0.12786,0.85783,0.54169,0.66903,0.42739,0.46716,0.67185,0.06962,0.00736,0.00736,0.00736
82,51943.9,0.81294,0.66788,0.10395,0.85227,0.54096,0.66909,0.42823,0.46563,0.67333,0.06938,0.007327,0.007327,0.007327
83,52576.8,0.80432,0.63268,0.10171,0.85904,0.54576,0.66914,0.42818,0.47005,0.6681,0.06952,0.007294,0.007294,0.007294
84,53209.3,0.79022,0.63792,0.09967,0.86139,0.54684,0.67313,0.43045,0.46623,0.67192,0.06932,0.007261,0.007261,0.007261
85,53842.6,0.88219,0.59549,0.1102,0.83146,0.56233,0.67584,0.43293,0.46764,0.66707,0.0695,0.007228,0.007228,0.007228
86,54473.9,0.89429,0.60241,0.11874,0.85136,0.55999,0.6781,0.43477,0.46998,0.66615,0.06928,0.007195,0.007195,0.007195
87,55107.3,0.86727,0.61602,0.10624,0.85185,0.55903,0.67806,0.43328,0.47221,0.6646,0.06962,0.007162,0.007162,0.007162
88,55740.3,0.88411,0.63633,0.10974,0.83897,0.56487,0.67926,0.43355,0.47425,0.66171,0.06952,0.007129,0.007129,0.007129
89,56373.2,0.95961,0.59135,0.12318,0.8249,0.56807,0.67986,0.43469,0.4775,0.65919,0.06982,0.007096,0.007096,0.007096
90,57005,0.82787,0.64924,0.10779,0.82169,0.56932,0.67673,0.42951,0.47642,0.6633,0.07026,0.007063,0.007063,0.007063
91,57636.8,0.83321,0.60475,0.10738,0.82666,0.57037,0.67635,0.42849,0.4747,0.66515,0.07012,0.00703,0.00703,0.00703
92,58268.3,0.96647,0.56413,0.11936,0.80873,0.5738,0.67852,0.43044,0.47496,0.66535,0.06835,0.006997,0.006997,0.006997
93,58900.5,0.87637,0.61036,0.11193,0.81426,0.57241,0.67889,0.42959,0.47843,0.66163,0.06909,0.006964,0.006964,0.006964
94,59532.9,0.89788,0.60235,0.11073,0.81846,0.57533,0.67708,0.42435,0.48367,0.66359,0.06951,0.006931,0.006931,0.006931
95,60165.4,0.99636,0.59617,0.12676,0.81584,0.57323,0.67733,0.42181,0.48969,0.65618,0.06989,0.006898,0.006898,0.006898
96,60798.3,0.87257,0.61038,0.10679,0.80452,0.57428,0.67811,0.42413,0.49157,0.65261,0.07029,0.006865,0.006865,0.006865
97,61430.9,0.79229,0.62373,0.10017,0.79616,0.57547,0.674,0.42048,0.50503,0.64152,0.07332,0.006832,0.006832,0.006832
98,62062.5,0.94909,0.59667,0.11689,0.79692,0.57475,0.67246,0.41424,0.50983,0.65115,0.07408,0.006799,0.006799,0.006799
99,62694.8,0.88279,0.63454,0.1115,0.79755,0.56773,0.6699,0.40765,0.52791,0.6405,0.07573,0.006766,0.006766,0.006766
100,63327.8,0.80862,0.62652,0.0987,0.79653,0.56842,0.66675,0.39943,0.5415,0.63149,0.07747,0.006733,0.006733,0.006733
101,63961.1,0.92371,0.61416,0.11708,0.80093,0.57005,0.66468,0.39177,0.55828,0.6228,0.0794,0.0067,0.0067,0.0067
102,64594.2,0.8242,0.62044,0.10175,0.79985,0.5681,0.66198,0.38469,0.57466,0.61395,0.08109,0.006667,0.006667,0.006667
103,65228.8,0.95623,0.59431,0.11795,0.8003,0.56452,0.65767,0.37973,0.58201,0.61292,0.08279,0.006634,0.006634,0.006634
104,65863.9,0.73434,0.64349,0.09214,0.8004,0.55901,0.65092,0.37346,0.59351,0.6057,0.0836,0.006601,0.006601,0.006601
105,66497.9,0.80068,0.60959,0.09885,0.79446,0.56074,0.65354,0.37065,0.59248,0.61063,0.08364,0.006568,0.006568,0.006568
106,67132.7,0.90247,0.57825,0.11637,0.78449,0.55647,0.6514,0.37176,0.59325,0.60898,0.08383,0.006535,0.006535,0.006535
107,67766.3,0.8641,0.58922,0.11342,0.77567,0.55944,0.65268,0.3743,0.5883,0.60734,0.08314,0.006502,0.006502,0.006502
108,68400.7,0.80436,0.61512,0.10008,0.77196,0.55859,0.6547,0.37407,0.58323,0.61046,0.08234,0.006469,0.006469,0.006469
109,69035,1.06381,0.54713,0.12994,0.77615,0.55596,0.65248,0.36642,0.59347,0.60737,0.08333,0.006436,0.006436,0.006436
110,69669.3,0.8609,0.59949,0.103,0.77798,0.5481,0.645,0.35701,0.59787,0.60793,0.08379,0.006403,0.006403,0.006403
111,70303.8,0.80423,0.60482,0.09588,0.79448,0.5442,0.63829,0.34909,0.59754,0.6155,0.08334,0.00637,0.00637,0.00637
112,70938.5,0.81764,0.59182,0.10089,0.78606,0.54017,0.63693,0.34419,0.59522,0.61973,0.08249,0.006337,0.006337,0.006337
113,71573.2,0.9645,0.57738,0.12075,0.76876,0.54404,0.63724,0.34412,0.58595,0.62589,0.0817,0.006304,0.006304,0.006304
114,72207.4,0.98111,0.58417,0.12246,0.77131,0.53969,0.63677,0.34332,0.58517,0.62824,0.08002,0.006271,0.006271,0.006271
115,72841.1,1.04357,0.56419,0.13322,0.75794,0.53702,0.63427,0.34189,0.58306,0.63139,0.07975,0.006238,0.006238,0.006238
116,73475.8,0.86878,0.63273,0.10849,0.77509,0.5322,0.63536,0.34312,0.58435,0.63148,0.07999,0.006205,0.006205,0.006205
117,74111.1,0.89567,0.58954,0.10931,0.75569,0.54348,0.63738,0.35027,0.5764,0.63129,0.07946,0.006172,0.006172,0.006172
118,74745.1,0.77677,0.63792,0.09324,0.75146,0.54954,0.64116,0.35431,0.57289,0.63333,0.07939,0.006139,0.006139,0.006139
119,75378.7,0.74822,0.61717,0.08894,0.74903,0.55123,0.6432,0.35655,0.57233,0.62781,0.07936,0.006106,0.006106,0.006106
