epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,43572.6,1.43479,1.00258,1.04162,0.79451,0.72153,0.78393,0.45889,1.48322,0.98656,0.98317,0.006469,0.006469,0.006469
109,43972.2,1.43309,0.99806,1.04168,0.77824,0.73387,0.78549,0.45974,1.48284,0.98638,0.98289,0.006436,0.006436,0.006436
110,44373.1,1.43861,0.99755,1.03699,0.78577,0.7265,0.78541,0.46008,1.4841,0.98798,0.98298,0.006403,0.006403,0.006403
111,44777.9,1.43261,0.99012,1.0347,0.7882,0.72755,0.78465,0.45928,1.48146,0.98553,0.98258,0.00637,0.00637,0.00637
112,45182.8,1.44011,1.00184,1.0364,0.78858,0.72926,0.78612,0.46029,1.48109,0.98568,0.98272,0.006337,0.006337,0.006337
113,45587.3,1.43489,0.99745,1.03306,0.78859,0.72999,0.78634,0.4595,1.48216,0.98599,0.98238,0.006304,0.006304,0.006304
114,45990.6,1.42493,0.98049,1.03249,0.78731,0.73004,0.78762,0.46092,1.48215,0.98677,0.98236,0.006271,0.006271,0.006271
115,46393.4,1.42967,0.99198,1.032,0.78618,0.73018,0.78752,0.46168,1.48174,0.98708,0.98239,0.006238,0.006238,0.006238
116,46788.6,1.42387,0.98542,1.03385,0.78258,0.73103,0.78804,0.46144,1.47859,0.98525,0.98194,0.006205,0.006205,0.006205
117,47192.1,1.41452,0.98852,1.03089,0.78443,0.73281,0.78873,0.46288,1.48217,0.98603,0.98222,0.006172,0.006172,0.006172
118,47596.3,1.41439,0.96915,1.03328,0.78644,0.73133,0.78953,0.46208,1.48388,0.98651,0.98193,0.006139,0.006139,0.006139
119,47999.6,1.42659,0.98943,1.02983,0.78855,0.73251,0.79008,0.46307,1.48115,0.98378,0.98121,0.006106,0.006106,0.006106
120,48404.2,1.41252,0.97411,1.03287,0.78749,0.73304,0.79094,0.46237,1.48107,0.98371,0.98124,0.006073,0.006073,0.006073
121,48807.8,1.41591,0.98117,1.03266,0.78892,0.73319,0.79147,0.46332,1.48033,0.98291,0.98119,0.00604,0.00604,0.00604
122,49211.1,1.4172,0.97376,1.02778,0.78485,0.73483,0.79129,0.4637,1.47977,0.98236,0.98116,0.006007,0.006007,0.006007
123,49607.6,1.42474,0.973,1.0285,0.78426,0.7351,0.79099,0.46394,1.4801,0.98252,0.98095,0.005974,0.005974,0.005974
124,50011.3,1.40029,0.95146,1.02584,0.78449,0.73203,0.79139,0.46435,1.48075,0.98166,0.98095,0.005941,0.005941,0.005941
125,50416.8,1.40569,0.96669,1.02582,0.78683,0.73317,0.7915,0.4645,1.47916,0.98105,0.98053,0.005908,0.005908,0.005908
126,50821.4,1.40746,0.96967,1.02149,0.78539,0.73288,0.792,0.46419,1.47903,0.97973,0.97999,0.005875,0.005875,0.005875
127,51225.3,1.40352,0.9649,1.02557,0.78631,0.73511,0.79246,0.46404,1.48192,0.98138,0.98007,0.005842,0.005842,0.005842
128,51628.4,1.40215,0.94958,1.02542,0.78952,0.73369,0.79237,0.46498,1.48146,0.98077,0.97999,0.005809,0.005809,0.005809
129,52031,1.39456,0.95115,1.02019,0.79106,0.73629,0.79288,0.46496,1.48016,0.97863,0.97953,0.005776,0.005776,0.005776
130,52427.4,1.39076,0.94959,1.02114,0.79537,0.73279,0.79323,0.46467,1.47867,0.97764,0.97939,0.005743,0.005743,0.005743
131,52830.5,1.41538,0.96123,1.02261,0.79554,0.73551,0.79368,0.46541,1.47758,0.97812,0.97889,0.00571,0.00571,0.00571
132,53233,1.38958,0.94327,1.01315,0.79803,0.73379,0.79335,0.46533,1.47817,0.97923,0.97919,0.005677,0.005677,0.005677
133,53637.3,1.38612,0.95339,1.01627,0.80089,0.73122,0.79312,0.46577,1.47628,0.97961,0.97865,0.005644,0.005644,0.005644
134,54040.9,1.38775,0.92626,1.01841,0.80305,0.73354,0.79404,0.46609,1.47681,0.97884,0.97857,0.005611,0.005611,0.005611
135,54444.7,1.38128,0.94691,1.01421,0.80055,0.73462,0.79376,0.46668,1.47795,0.97921,0.97876,0.005578,0.005578,0.005578
136,54843.8,1.37834,0.92727,1.01378,0.81265,0.72896,0.79361,0.46632,1.47869,0.97862,0.97865,0.005545,0.005545,0.005545
137,55243,1.37652,0.93153,1.01401,0.81117,0.72938,0.79376,0.46673,1.47699,0.97905,0.97857,0.005512,0.005512,0.005512
138,55646.9,1.37644,0.92991,1.01204,0.8127,0.7291,0.7939,0.46776,1.47679,0.97816,0.97813,0.005479,0.005479,0.005479
139,56049.5,1.37322,0.94063,1.01405,0.81688,0.72878,0.79479,0.46744,1.47804,0.97648,0.97823,0.005446,0.005446,0.005446
140,56452.3,1.36289,0.92169,1.01122,0.81829,0.72914,0.79494,0.46841,1.47704,0.97656,0.97813,0.005413,0.005413,0.005413
