epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,13140.7,1.67916,0.93873,0.00389,0.80377,0.7604,0.81475,0.50207,1.66399,0.94225,0.00428,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,13344.7,1.68024,0.96478,0.00379,0.79978,0.77133,0.82221,0.50662,1.65625,0.94169,0.00424,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13547.9,1.68019,0.93883,0.00382,0.78528,0.78341,0.82346,0.50813,1.65657,0.94289,0.00426,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,13752.1,1.66712,0.93175,0.00381,0.78618,0.78462,0.82118,0.50583,1.64215,0.95702,0.00422,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,13955.4,1.67049,0.91975,0.00381,0.78544,0.78531,0.82151,0.50851,1.63821,0.95323,0.00423,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14159.7,1.65776,0.91088,0.00375,0.78527,0.78758,0.82333,0.5085,1.6414,0.95408,0.00419,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14363.5,1.65428,0.90515,0.00377,0.79163,0.79059,0.8264,0.51013,1.64345,0.94981,0.0042,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14566.9,1.65741,0.92503,0.00375,0.7919,0.7864,0.82498,0.51078,1.64176,0.95122,0.00419,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,14770.9,1.65388,0.89893,0.00373,0.794,0.78298,0.82599,0.51147,1.63818,0.9493,0.00421,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,14975.1,1.65972,0.90784,0.00377,0.78412,0.78868,0.82367,0.51031,1.63591,0.95425,0.00421,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
